,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Total Units Enrolled,Total Units Approved,Approval Rate,Improvement in Grades,Economic Hardship,Total Units without Evaluations
0,1,17,5,171,1,1,4.812184355372417,1,19,12,5,9,4.8543712716215905,1,0,0,1,1,0,3.044522437723423,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.468099531471619,0.8754687373538999,1.007957920399979,0,0,0,,0.0,10.46,0
1,1,15,1,9254,1,1,5.081404364984463,1,1,3,3,3,4.966335035199676,1,0,0,0,1,0,2.995732273553991,0,0.0,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.70805020110221,0.0,0.0,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.6855773452501515,0.0,2.7013612129514133,-0.3566749439387324,0.5822156198526637,2,12,12,1.0,-0.3333333333333339,12.809999999999999,0
2,1,1,5,9070,1,1,4.812184355372417,1,37,37,9,9,4.8346933442663405,1,0,0,0,1,0,2.995732273553991,0,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,2.468099531471619,0.8754687373538999,1.007957920399979,0,12,0,0.0,0.0,10.46,0
3,1,17,2,9773,1,1,4.812184355372417,1,38,37,5,3,4.792479284293085,1,0,0,1,0,0,3.044522437723423,0,0.0,1.9459101490553132,2.1972245773362196,1.9459101490553132,2.6692103677859462,0.0,0.0,1.9459101490553132,2.3978952727983707,1.791759469228055,2.5952547069568657,0.0,2.341805806147327,-1.6094379124341005,,2,12,11,0.9166666666666666,-1.0285714285714285,11.719999999999999,0
4,2,39,1,8014,0,1,4.61512051684126,1,37,38,9,9,4.959341999708705,0,0,0,1,0,0,3.828641396489095,0,0.0,1.9459101490553132,2.302585092994046,1.791759469228055,2.5902671654458267,0.0,0.0,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.6390573296152584,0.0,2.7013612129514133,-0.3566749439387324,0.5822156198526637,2,12,11,0.9166666666666666,0.6666666666666661,12.809999999999999,0
5,2,39,1,9991,0,19,4.898585790287632,1,37,37,9,7,4.751864565138895,0,0,1,1,1,0,3.9318256327243257,0,0.0,1.791759469228055,2.3978952727983707,1.791759469228055,2.553899521274952,0.0,0.0,1.791759469228055,2.8903717578961645,1.791759469228055,2.5257286443082556,1.791759469228055,2.8449093838194073,0.262364264467491,-2.525728644308256,2,10,10,1.0,-0.35714285714285765,17.42,5
6,1,1,1,9500,1,1,4.962844630259907,1,19,38,7,10,4.8629083820668,1,0,0,1,0,1,2.9444389791664403,0,0.0,2.0794415416798357,2.302585092994046,2.0794415416798357,2.6602595372658615,0.0,0.0,2.1972245773362196,2.1972245773362196,2.1972245773362196,2.7307896880716998,0.0,2.803360380906535,1.33500106673234,,2,15,15,1.0,1.045,22.36,0
7,1,18,4,9254,1,1,4.787491742782046,1,37,37,9,9,4.73707525686803,1,0,0,0,1,0,3.1354942159291497,0,0.0,1.791759469228055,1.791759469228055,0.0,0.0,0.0,0.0,1.791759469228055,1.791759469228055,0.0,0.0,0.0,2.803360380906535,1.33500106673234,,0,10,0,0.0,0.0,22.36,0
8,1,1,3,9238,1,1,4.927253685157205,62,1,1,9,9,4.869839484130799,0,0,0,1,0,1,3.091042453358316,1,0.0,1.9459101490553132,2.1972245773362196,1.9459101490553132,2.6996819514316934,0.0,0.0,1.9459101490553132,2.0794415416798357,1.9459101490553132,2.717528945056754,0.0,2.8449093838194073,0.262364264467491,-2.525728644308256,2,12,12,1.0,0.26785714285714235,17.42,0
9,1,1,1,9238,1,1,4.9344739331306915,1,1,19,4,7,4.820281565605037,1,0,1,0,0,0,2.9444389791664403,0,0.0,1.9459101490553132,2.302585092994046,1.791759469228055,2.517696472610991,0.0,0.0,1.9459101490553132,2.70805020110221,1.0986122886681098,2.6741486494265287,0.0,2.2925347571405443,0.8754687373538999,1.506297153514587,0,12,7,0.5833333333333334,2.0999999999999996,6.790000000000001,0
